0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0.0290467	0.0344832	0.1269563	0.0890943	0.0957985	0.0738351	0.0579231	0.0980553	0.1152160	0.0625638	0.0776694	0.0183485	0.0053398	0.0058089	0.0209394	0.0889216
0.0000001	0.0000001	0.0000001	0.0000002	0.0000010	0.0000055	0.0000342	0.0002149	0.0013538	0.0085306	0.0537563	0.0333260	0.1615403	0.0939990	0.1402973	0.5069406
0.0000001	0.0000002	0.0000008	0.0000061	0.0000542	0.0004880	0.0044023	0.0397223	0.0101029	0.0525589	0.1216539	0.0136746	0.0032519	0.0160283	0.1431525	0.5949032
0.0000051	0.0000219	0.0000953	0.0004152	0.0018113	0.0079025	0.0344788	0.0087155	0.0055448	0.0167477	0.0713651	0.0275444	0.0551263	0.0838926	0.1884137	0.4979198
0.1539492	0.1026726	0.1081338	0.0418287	0.0261614	0.0421652	0.0416563	0.0240187	0.0354581	0.0222652	0.0360266	0.0258439	0.0469479	0.0573293	0.0695559	0.1659870
0.0000002	0.0000006	0.0000045	0.0000423	0.0004090	0.0039612	0.0383730	0.0154329	0.1127257	0.0193198	0.0764281	0.0163571	0.0837188	0.0907012	0.0917021	0.4508237
0.0590335	0.0784588	0.1053527	0.0722002	0.0374153	0.0570385	0.0529816	0.0193451	0.0138396	0.0284591	0.0844628	0.0500426	0.0883925	0.0420328	0.0567957	0.1541491
0.4758313	0.1174247	0.0289884	0.0071991	0.0019608	0.0012302	0.0033279	0.0130764	0.0528885	0.0130963	0.0034136	0.0015790	0.0033742	0.0129269	0.0521994	0.2114833
0.4596111	0.1317059	0.1296196	0.0446205	0.0700050	0.0667850	0.0269947	0.0539847	0.0127387	0.0030060	0.0007094	0.0001675	0.0000396	0.0000094	0.0000023	0.0000006
0.0718857	0.0247412	0.0467154	0.0471256	0.0271179	0.0828682	0.0659822	0.0813573	0.0198751	0.0139170	0.0468381	0.0585380	0.0817025	0.0289741	0.0571893	0.2451725
0.0000001	0.0000001	0.0000002	0.0000010	0.0000076	0.0000618	0.0005096	0.0042060	0.0347177	0.0084120	0.0357381	0.0127522	0.0710696	0.0261716	0.1481340	0.6582183
0.0584178	0.0533108	0.0554426	0.0673527	0.0469585	0.0262355	0.0367670	0.0348283	0.0181098	0.0229657	0.0551808	0.0405912	0.0743583	0.0841673	0.1379745	0.1873391
0.4262066	0.2160801	0.1190909	0.0538436	0.0337830	0.0420736	0.0174715	0.0075317	0.0039126	0.0035770	0.0062432	0.0141486	0.0339278	0.0139781	0.0057589	0.0023727
0.0982333	0.0487255	0.0196440	0.0693103	0.0470207	0.0383231	0.0083512	0.0118566	0.0628920	0.0162421	0.0347023	0.0173734	0.0696900	0.0515726	0.0652948	0.3407681
0.0243127	0.0426344	0.0480989	0.0424759	0.0506087	0.0751311	0.0706560	0.0623985	0.0476844	0.0484128	0.0648198	0.0755542	0.0840925	0.0931998	0.0791613	0.0907590
0.0000001	0.0000001	0.0000001	0.0000001	0.0000001	0.0000001	0.0000001	0.0000001	0.0000001	0.0000002	0.0909089	0.0000003	0.0909090	0.1363638	0.3636357	0.3181812
0.0067954	0.0126394	0.0235094	0.0437276	0.0350770	0.0403744	0.0617263	0.0613663	0.0391513	0.0325045	0.0387829	0.0604829	0.1062335	0.1479703	0.1560325	0.1336262
0.0025787	0.0072741	0.0205194	0.0578834	0.0241414	0.0187752	0.0354775	0.0243091	0.0417138	0.0385778	0.0807865	0.0788097	0.0998951	0.0992555	0.1457105	0.2242923
0.0000016	0.0000116	0.0000874	0.0006650	0.0050627	0.0385473	0.0063637	0.0107419	0.0768358	0.0101074	0.0014493	0.0011171	0.0072025	0.0546686	0.1290901	0.6580480
0.0499236	0.0697113	0.1192964	0.1189890	0.0938788	0.0836751	0.0840164	0.0698274	0.0602642	0.0512392	0.0641160	0.0539562	0.0416382	0.0218970	0.0115153	0.0060558
0.0250015	0.0095778	0.0073220	0.0151329	0.0437493	0.0659225	0.0455449	0.0877856	0.0509418	0.0841362	0.1664140	0.0779331	0.0965999	0.0483009	0.0664092	0.1092286
