"Item","absMix","diffTheta","bimodality"
"rhymed limericks",0.817851183404051,0.430073170267064,0.35173585125325
"rhymed poems",0.761675735409238,0.338121633022199,0.257539043489956
"rhymed songs",0.888595013231652,0.404916916477688,0.359807152755211
"ripped books",0.794228364614317,0.35593305492057,0.282692128121742
"ripped shirts",0.996285381017279,0.377690964159808,0.376287986134738
"ripped shoes",0.697722385931743,0.403595324759671,0.281597492942214
"rolled shopping carts",0.329543213333868,0.417263140317116,0.137506236065883
"rolled toy cars",0.932452209595049,0.286160727237539,0.26683120241197
"rolled wheelchairs",0.199899561953503,0.558851204968167,0.111714111070324
"sank balloons",0.244986802635782,0.762971976458985,0.18691806501339
"sank cups",0.98751872818689,0.619527008598159,0.611794523608282
"sank marbles",0.226625817155535,0.460443947469702,0.104348485849641
"stopped bicycles",0.154943731649456,0.573868565663153,0.0889173370401701
"stopped cars",0.450637473313457,0.429613655933513,0.193600012410835
"stopped motorcycles",0.252790100422586,0.612638913584483,0.154869052487806
"stuck beads",0.882176324532641,0.364130699876297,0.32122748246637
"stuck sequins",0.722470893730053,0.305006684541333,0.220358451974217
"stuck stickers",0.461770541756164,0.287517929409345,0.132767310027964
"stuck to the wall baseballs",0.400410355484919,0.683577473474797,0.273711499155526
"stuck to the wall cakes",0.368322423196535,0.602491887452151,0.22191127194263
"stuck to the wall pieces of gum",0.828502781401568,0.45099515215783,0.373650737961385
"were green bananas",0.286994555533367,0.135781728525005,0.0389686168275859
"were green clovers",0.29043552815119,0.419376829888394,0.121801931083007
"were green strawberries",0.929107238556317,0.39673192947831,0.368606507444712
