Item,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
laughed comedians,0.0065414,0.0116185,0.0206362,0.036653,0.0477588,0.0750629,0.0757983,0.0848997,0.1054539,0.1097471,0.0992354,0.0876962,0.0712158,0.0615471,0.0554106,0.0507252
laughed kids,0.0001373,0.0004976,0.0018041,0.0065413,0.0237189,0.0860051,0.1003402,0.0939868,0.1606205,0.1096911,0.1616153,0.0978682,0.1144898,0.0315745,0.0087078,0.0024015
laughed lawyers,0.0210141,0.0182929,0.0230484,0.0372242,0.0454946,0.0723593,0.0865593,0.1361377,0.1568794,0.1150226,0.099058,0.0813409,0.05463,0.0291277,0.0155304,0.0082805
lit up cd-players,3e-07,1e-06,4.2e-06,1.89e-05,8.65e-05,0.0003981,0.0018338,0.0084496,0.038934,0.0453192,0.0456421,0.0408149,0.1512835,0.1527782,0.1836029,0.3308328
lit up computers,1e-07,3e-07,1.2e-06,6.9e-06,4.15e-05,0.000253,0.0015445,0.0094321,0.0576036,0.0576559,0.0098126,0.0038786,0.0145095,0.0871102,0.237614,0.5205359
lit up flashlights,1.4e-06,5.8e-06,2.48e-05,0.0001073,0.0004654,0.0020188,0.008759,0.0380034,0.022044,0.0627224,0.1217081,0.0648606,0.0318139,0.0805071,0.1932022,0.3737559
melted crayons,1e-07,1e-07,1e-07,4e-07,2e-06,1.42e-05,0.000107,0.0008097,0.0061334,0.0464662,0.0080506,0.0155874,0.1120967,0.1604994,0.0931019,0.5571309
melted ice cubes,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,4e-07,6.3e-06,0.0001242,0.0024821,0.0496327,0.0473876,0.9003657
melted pencils,0.6104928,0.1053742,0.018252,0.0035309,0.0028158,0.0132698,0.0763616,0.0133704,0.0034161,0.0070125,0.0384255,0.0077673,0.0079199,0.0394888,0.0132043,0.0392981
popped balloons,1e-07,1e-07,1e-07,2e-07,9e-07,4.7e-06,2.78e-05,0.0001654,0.0009871,0.0058947,0.0352041,0.0079333,0.0135032,0.0749715,0.2444835,0.6168231
popped bubbles,1e-07,1e-07,1e-07,1e-07,1e-07,2e-07,2.6e-06,8.8e-05,0.0030729,0.1074256,0.0030729,8.98e-05,6.54e-05,0.0021958,0.0767587,0.8072276
popped eggs,0.2800032,0.035357,0.0045585,0.0013306,0.0061497,0.0481632,0.0176736,0.094078,0.0118776,0.0015151,0.0003159,0.0010264,0.0079443,0.0629106,0.1345695,0.2925268
ran out of batteries bike lights,0.0305,0.01586,0.0159819,0.0309789,0.013306,0.0080178,0.0101921,0.0218526,0.0538527,0.074473,0.0414023,0.0468672,0.0959542,0.1113441,0.1688652,0.260552
ran out of batteries laptops,3e-07,1.1e-06,6.4e-06,3.89e-05,0.0002385,0.0014656,0.00901,0.0553927,0.0678169,0.0998384,0.0167547,0.0058938,0.0204384,0.1230847,0.2108317,0.3891877
ran out of batteries phones,0.0007256,0.0037344,0.0192215,0.0989379,0.0766546,0.0221128,0.0414617,0.0551546,0.1089475,0.0941884,0.1057607,0.0381321,0.0979237,0.0523266,0.0373796,0.1473381
reflected the sunlight diamonds,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6e-07,1.06e-05,0.0002069,0.0040841,0.0806491,0.0472018,0.0811496,0.7866964
reflected the sunlight mirrors,2e-07,7e-07,3.2e-06,1.57e-05,7.77e-05,0.0003865,0.0019234,0.0095745,0.0476619,0.0121796,0.0154152,0.0676541,0.1098772,0.0512258,0.1554174,0.5285869
reflected the sunlight phone screens,0.000368,0.0011709,0.0037259,0.0118572,0.0377341,0.0130099,0.0077568,0.0141126,0.0415897,0.024236,0.0431546,0.0195845,0.0253253,0.0689687,0.2158335,0.4715724
rhymed limericks,5.5e-06,1.87e-05,6.42e-05,0.0002209,0.0007606,0.0026191,0.0090203,0.0310665,0.0195434,0.0419171,0.0495416,0.055641,0.0707946,0.1212854,0.2072349,0.3902661
rhymed poems,0.004307,0.0092803,0.0199966,0.0119459,0.0112878,0.0176149,0.0348428,0.0736328,0.0957064,0.1147238,0.1113119,0.0833595,0.0758516,0.1152836,0.1014912,0.1193639
rhymed songs,0.0032704,0.0074551,0.0169945,0.0387405,0.0264476,0.0331511,0.0636662,0.0780459,0.1484837,0.0781128,0.0638482,0.095444,0.1337294,0.0824736,0.0904562,0.0396808
ripped books,0.0096668,0.021787,0.0098067,0.0046664,0.0027809,0.0028349,0.0048663,0.0102917,0.0228955,0.0514686,0.1159409,0.1433912,0.1136693,0.1239346,0.1420504,0.2199488
ripped shirts,3.73e-05,0.0001469,0.0005791,0.0022833,0.0090038,0.0355065,0.0153812,0.0290495,0.1065421,0.0442013,0.0789748,0.0379856,0.0804542,0.1750493,0.1556893,0.2291159
ripped shoes,2.72e-05,8.1e-05,0.0002414,0.0007201,0.0021482,0.006409,0.0191215,0.0570503,0.0920984,0.0923699,0.1363383,0.1257557,0.1247821,0.1321332,0.0793881,0.1313356
rolled shopping carts,1e-07,1e-07,5e-07,3.9e-06,4.08e-05,0.0004374,0.0047003,0.0505144,0.0505208,0.004776,0.0012519,0.0087941,0.0940782,0.0263017,0.1910414,0.5675383
rolled toy cars,5e-07,2e-06,1e-05,5.16e-05,0.0002699,0.0014125,0.0073938,0.0387064,0.0093118,0.0118196,0.0548215,0.0923271,0.0595151,0.0372871,0.1428057,0.5442654
rolled wheelchairs,1e-07,1e-07,1e-07,2e-07,2.1e-06,7.47e-05,0.0027592,0.1019836,0.0027592,7.47e-05,2.2e-06,1.6e-06,5.36e-05,0.0019768,0.0730642,0.8172477
sank balloons,0.7345755,0.1040894,0.0519492,0.0069999,0.0009435,0.0001289,3.02e-05,9.86e-05,0.0007144,0.0052991,0.0393263,0.010409,0.0393263,0.0052991,0.0007141,9.63e-05
sank cups,0.1761198,0.0724704,0.0231734,0.0376692,0.0107145,0.0132551,0.052285,0.0900993,0.0856475,0.026674,0.0411301,0.0236631,0.0713371,0.0250947,0.0479347,0.2027321
sank marbles,2e-07,4e-07,1.7e-06,9.3e-06,5.24e-05,0.0002976,0.0016933,0.0096363,0.0548398,0.0187212,0.0549926,0.0105325,0.0067986,0.0293526,0.1654055,0.6476659
stopped bicycles,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,0.1052631,1e-07,0.2105261,0.6842095
stopped cars,1e-07,1e-07,1e-07,3e-07,1.9e-06,1.56e-05,0.0001344,0.0011614,0.0100415,0.086827,0.051064,0.0107632,0.043248,0.0183392,0.1174491,0.6609542
stopped motorcycles,1.5e-06,5e-06,1.77e-05,6.31e-05,0.0002262,0.0008113,0.0029112,0.0104468,0.0374896,0.0110787,0.005355,0.0096303,0.031888,0.11369,0.2843275,0.4920583
stuck beads,0.0016217,0.0030333,0.0056737,0.0106125,0.0198505,0.0371302,0.0338236,0.0442193,0.0725288,0.0945924,0.0837202,0.1067641,0.101803,0.1380835,0.1234188,0.1231243
stuck sequins,1e-07,1e-07,2e-07,5e-07,2e-06,1.09e-05,5.97e-05,0.0003303,0.0018303,0.0101443,0.0562256,0.0971146,0.0705212,0.0919584,0.2412374,0.4305644
stuck stickers,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,1e-07,6e-07,9e-06,0.0001496,0.0025001,0.0417992,0.0810994,0.083469,0.0839287,0.7070435
stuck to the wall baseballs,0.8327848,0.0207805,0.0005186,1.3e-05,4e-07,9e-07,3.03e-05,0.0012122,0.0485748,0.0936862,0.0023378,5.84e-05,1.6e-06,1e-07,1e-07,1e-07
stuck to the wall cakes,0.1229226,0.1589492,0.1415281,0.103313,0.058982,0.0656396,0.0336133,0.0306449,0.0541683,0.0290909,0.0291621,0.0544433,0.0313614,0.0353909,0.0223009,0.0284895
stuck to the wall pieces of gum,0.0427794,0.0538465,0.061195,0.0671938,0.0737768,0.1041433,0.0837738,0.0904106,0.0840388,0.0836814,0.0681462,0.0535022,0.0350285,0.027847,0.0296426,0.0409941
were green bananas,0.0410469,0.0531681,0.0906374,0.0883783,0.1006072,0.1331543,0.1462432,0.1184673,0.0918779,0.0537982,0.0413669,0.0210108,0.0106717,0.0054204,0.0027531,0.0013984
were green clovers,2e-07,3e-07,9e-07,3.7e-06,1.74e-05,8.27e-05,0.0003938,0.0018775,0.0089534,0.0426991,0.0096544,0.0053673,0.0170676,0.0796079,0.1852999,0.648974
were green strawberries,0.1983746,0.1151039,0.0549496,0.0752798,0.060396,0.0612359,0.0790296,0.1398398,0.1145206,0.0387253,0.0196508,0.0293585,0.0093293,0.0029647,0.0009422,0.0002995
