0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0.4750000	0.0250000	0.0250000	0.0500000	0.0500000	0.0250000	0.0250000	0.0250000	0.0250000	0.0500000	0.0250000	0.0250000	0.0250000	0.0750000	0.0250000	0.0500000
0.5581395	0.0232558	0.0232558	0.0232558	0.0465116	0.0465116	0.0232558	0.0232558	0.0465116	0.0232558	0.0232558	0.0232558	0.0232558	0.0465116	0.0232558	0.0232558
0.1290323	0.0322581	0.0645161	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0645161	0.0322581	0.0322581	0.0645161	0.0322581	0.0322581	0.0645161	0.2903226
0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.5312500
0.0606061	0.0303030	0.0303030	0.0303030	0.0303030	0.0606061	0.0303030	0.0303030	0.0303030	0.0606061	0.0303030	0.0303030	0.0303030	0.0606061	0.0606061	0.3939394
0.5428571	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0571429	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714
0.2162162	0.0270270	0.0270270	0.0540541	0.0540541	0.0540541	0.0540541	0.0270270	0.0270270	0.0270270	0.0270270	0.1081081	0.0270270	0.0270270	0.0810811	0.1621622
0.1142857	0.0571429	0.0285714	0.0571429	0.0285714	0.0571429	0.0285714	0.0285714	0.0857143	0.0571429	0.1142857	0.0285714	0.0571429	0.0285714	0.0285714	0.2000000
0.0555556	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.0277778	0.1111111	0.0555556	0.0555556	0.1111111	0.1111111	0.2500000
0.0571429	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0857143	0.0285714	0.0285714	0.0571429	0.4571429
0.0243902	0.0243902	0.0243902	0.0487805	0.0487805	0.0243902	0.0243902	0.0487805	0.0487805	0.0243902	0.0487805	0.0731707	0.0975610	0.0487805	0.0487805	0.3414634
0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0294118	0.0588235	0.0294118	0.0588235	0.5000000
0.0625000	0.0625000	0.0625000	0.0937500	0.0625000	0.0625000	0.0625000	0.0312500	0.0312500	0.1250000	0.0937500	0.0625000	0.0937500	0.0312500	0.0312500	0.0312500
0.0333333	0.0666667	0.0333333	0.0333333	0.0666667	0.0333333	0.0333333	0.0333333	0.2000000	0.1000000	0.1000000	0.0333333	0.1000000	0.0333333	0.0333333	0.0666667
0.0285714	0.0285714	0.0285714	0.0571429	0.0285714	0.0857143	0.0571429	0.0285714	0.1714286	0.0571429	0.0857143	0.0857143	0.0285714	0.0285714	0.0571429	0.1428571
0.1463415	0.0487805	0.0731707	0.0487805	0.0487805	0.1219512	0.0243902	0.0975610	0.0975610	0.0487805	0.0975610	0.0243902	0.0243902	0.0243902	0.0243902	0.0487805
0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.0232558	0.6511628
0.0645161	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0645161	0.0322581	0.0322581	0.0322581	0.0645161	0.0322581	0.4193548
0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0625000	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0312500	0.0625000	0.0312500	0.4687500
0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0285714	0.0571429	0.0571429	0.0571429	0.0285714	0.0285714	0.0285714	0.0285714	0.4857143
0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.0322581	0.5161290
0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.0250000	0.1000000	0.0250000	0.5500000
0.1081081	0.1081081	0.1621622	0.0540541	0.0810811	0.0810811	0.0810811	0.0540541	0.0540541	0.0270270	0.0540541	0.0270270	0.0270270	0.0270270	0.0270270	0.0270270
